rank,symbol,analysis_symbol,company_name,sector,industry,valuation_symbol,valuation_currency_code,current_price,current_price_source,current_price_as_of_date,current_price_proxy,price_proxy_gap_pct,price_history_fetch_error,fair_value_low,fair_value_base,fair_value_high,upside_to_base,expected_3y_cagr,valuation_confidence,valuation_confidence_label,valuation_method,valuation_reason_code,normalized_eps_per_share,normalized_fcf_per_share,current_anchor_multiple,target_multiple_low,target_multiple_base,target_multiple_high,expected_growth_rate,shareholder_yield_component,multiple_reversion_component,reversion_dependency,band_width_ratio,cheap_to_low_band,cheap_to_base,valuation_gap_pct,extreme_anchor_flag,rank_percentile,valuation_percentile,valuation_tension,valuation_actionable
11,SPH.US,SPH.US,Suburban Propane Partners LP,Utilities,Utilities - Regulated Gas,SPH.US,USD,19.953347786976476,price_proxy,,19.953347786976476,0.0,RuntimeError: /eod/SPH.US failed with HTTP 403: Forbidden,14.84485499588666,22.264133326538477,30.798862744586998,0.11580941525362709,0.08059983457964925,0.29660971313367435,low,blended_fcf_eps,blended_low,1.708518502224357,2.147370700269841,10.274591474022554,8.407131804658565,11.408223381012197,14.40931495736583,-0.010255402454683088,0.0543640890794405,0.035502498537349325,0.440478553368066,0.7165788811407909,False,True,-0.10378960212242272,False,0.4736842105263158,0.7894736842105263,-0.3157894736842105,False
12,INCY.US,INCY.US,Incyte Corporation,Healthcare,Biotechnology,INCY.US,USD,95.26318429496762,price_proxy,,95.26318429496762,0.0,RuntimeError: /eod/INCY.US failed with HTTP 403: Forbidden,41.62012543253897,60.878389442480014,82.85405310391955,-0.36094526030140284,-0.00925946638931241,0.20191302860528929,low,blended_fcf_eps,blended_low,2.9855597993222736,3.24003265647405,30.520723151634417,14.631765200967696,19.484120822249963,24.33647644353223,0.09929054679468569,0.04669168289554937,-0.13894941757647472,15.006201408847367,0.6773163358787573,False,False,0.5648111779464129,False,0.42105263157894735,0.3157894736842105,0.10526315789473684,False
13,EXEL.US,EXEL.US,Exelixis Inc,Healthcare,Biotechnology,EXEL.US,USD,42.11026389416135,price_proxy,,42.11026389416135,0.0,RuntimeError: /eod/EXEL.US failed with HTTP 403: Forbidden,21.81520051118381,31.983862706442494,43.5961319013535,-0.24047346777902512,0.03611479471797585,0.1989608665158712,low,blended_fcf_eps,blended_low,1.4503464919063465,1.6851450629374818,26.728373900445828,15.19064071506993,20.263813186815614,25.336985658561296,0.08406142633956133,0.048184593357016414,-0.0881650976801649,2.4412459870990606,0.6809975264739481,False,False,0.31660970035614544,False,0.368421052631579,0.42105263157894735,-0.05263157894736836,False
14,NEM.US,NEM.US,Newmont Goldcorp Corp,Basic Materials,Gold,NEM.US,USD,118.70396534296029,price_proxy,,118.70396534296029,0.0,RuntimeError: /eod/NEM.US failed with HTTP 403: Forbidden,23.677090304986805,35.674848403970586,49.49676183736051,-0.6994637179903925,-0.19969775250403277,0.11874116745140634,low,blended_fcf_eps,cyclical_normalized,1.9245343127661394,2.7966307394039527,49.192438993619945,10.791691312206195,14.695069020876524,18.598446729546847,0.14734526990648328,0.043443205574912935,-0.33151588529239395,1.6600882139907869,0.7237499999999998,False,False,2.3273852771228207,True,0.3157894736842105,0.05263157894736842,0.2631578947368421,False
15,AAPL.US,AAPL.US,Apple Inc,Technology,Consumer Electronics,AAPL.US,USD,255.15449359463906,price_proxy,,255.15449359463906,0.0,RuntimeError: /eod/AAPL.US failed with HTTP 403: Forbidden,98.42932652555342,141.9623095169335,191.41044443693633,-0.4436221462653629,-0.14077849199827108,0.22001628875877507,low,blended_fcf_eps,blended_low,6.279378175186508,6.608171859457736,39.526504273757915,16.67110665594309,21.96632920329168,27.261551750640272,0.01446082372005838,0.030180913344576395,-0.17783996820048975,1.2632609262690058,0.6549704511555018,False,False,0.7973396915200497,False,0.26315789473684215,0.2631578947368421,5.551115123125783e-17,False
16,SNX.US,SNX.US,Synnex Corporation,Technology,Electronics & Computer Distribution,SNX.US,USD,195.32068926361762,price_proxy,,195.32068926361762,0.0,RuntimeError: /eod/SNX.US failed with HTTP 403: Forbidden,148.29510421306435,212.90683071547025,286.1878305292183,0.09003726905815501,0.08578104530227737,0.41091119863332304,low,blended_fcf_eps,blended_low,7.7811782354916765,12.574505507037024,18.995612890673765,15.591379747312669,20.47328587932512,25.355192011337568,0.008858207011787928,0.04970527051261148,0.0252853377685045,0.29476602528452994,0.6476669905458996,False,True,-0.08260017488755367,False,0.21052631578947367,0.6842105263157895,-0.4736842105263158,False
17,MCTA.US,MCTA.US,Charming Medical Limited Class A Ordinary Shares,Healthcare,Medical Care Facilities,MCTA.US,USD,29.770940606919353,price_proxy,,29.770940606919353,0.0,RuntimeError: /eod/MCTA.US failed with HTTP 403: Forbidden,,,,,,0.0,low,unavailable,anchor_multiple_outlier,0.04770102727594757,0.023737100011807767,865.3785322247627,14.047874429256758,19.104255940140092,24.160637451023426,0.2,0.0,,1.0845766367696255,0.721084514091236,False,False,,True,0.1578947368421053,,,False
18,FLEX.US,FLEX.US,Flex Ltd,Technology,Electronic Components,FLEX.US,USD,71.30078038190955,price_proxy,,71.30078038190955,0.0,RuntimeError: /eod/FLEX.US failed with HTTP 403: Forbidden,26.25931696783523,37.721823509620094,50.72473462334753,-0.4709479572654034,-0.09123710542111918,0.2252555649896187,low,blended_fcf_eps,blended_low,1.984691553393448,1.5128957248336752,41.011861927901194,16.61966778907452,21.832840325438312,27.046012861802097,0.021669032975427206,0.0975056689342404,-0.18953627002313567,2.077403367284629,0.64857462813994,False,False,0.8901732140209473,False,0.10526315789473684,0.21052631578947367,-0.10526315789473684,False
19,PHIN.US,PHIN.US,PHINIA Inc.,Consumer Cyclical,Auto Parts,PHIN.US,USD,69.04151461346633,price_proxy,,69.04151461346633,0.0,RuntimeError: /eod/PHIN.US failed with HTTP 403: Forbidden,37.94089201286258,54.622074730961565,73.55859047077846,-0.20885173164628545,0.042840186838417615,0.22238483851726273,low,blended_fcf_eps,cyclical_normalized,2.822113971910542,3.806759549912851,20.615002297911367,12.339217930718998,16.236386575825048,20.133555220931097,0.007062570955086719,0.1213107142857143,-0.07650333417081823,1.7857843258100043,0.6520751661914924,False,False,0.2639855764089343,False,0.052631578947368474,0.47368421052631576,-0.4210526315789473,False
20,JBL.US,JBL.US,Jabil Circuit Inc,Technology,Electronic Components,JBL.US,USD,285.17386156898107,price_proxy,,285.17386156898107,0.0,RuntimeError: /eod/JBL.US failed with HTTP 403: Forbidden,100.13506572995647,144.07812275671478,193.95300555138044,-0.49477093740632494,-0.1263958340694593,0.22313443848387102,low,blended_fcf_eps,blended_low,6.751939105636905,6.311531397537367,43.76379166991972,16.836358812711964,22.14436462833461,27.452370443957257,-0.011360170689610375,0.10890370072405466,-0.2031386540317841,1.6071625740461644,0.6511602041056687,False,False,0.9793002304070519,True,0.0,0.15789473684210525,-0.15789473684210525,False
