symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
BSM.US,USD,US Dollar,Energy,Oil & Gas E&P,23,0.016666666666666666,False,rank_fill,,0.522463990598804,0.0853976753012618,0.236806598610015,0.3841379126681929,0.0,-0.0021831332637021,0.6874618298717179,0.6874618298717179,0.0,5.0,1.0,1.045447883693132
CNC.US,USD,US Dollar,Healthcare,Healthcare Plans,24,0.016666666666666666,False,rank_fill,,0.4959001579062102,0.062383530885318,0.3068907044720001,1.5076033967530789,0.0,-0.0021458426688025,0.3745148019168379,0.3745148019168379,0.0,42.0,1.0,1.0135403944632817
FIX.US,USD,US Dollar,Industrials,Engineering & Construction,25,0.016666666666666666,False,rank_fill,,0.4866676346448937,0.0116187980433263,0.3409162218845678,0.0538355946892534,0.0,,,,0.0,,1.0,1.6055648669615523
ODC.US,USD,US Dollar,Basic Materials,Specialty Chemicals,26,0.016666666666666666,False,rank_fill,,0.4864039451775428,0.0565096186488627,0.3653086599417377,0.2941340041359693,,,,,0.0,0.0,1.0,1.032148894786281
NSSC.US,USD,US Dollar,Industrials,Security & Protection Services,27,0.016666666666666666,False,rank_fill,,0.4833530177626896,0.0293970377165057,0.5098894221791552,0.1458821760504374,0.0,-0.00273095703125,0.5432326376489343,0.5432326376489343,0.0,2.0,1.0,1.0641500117458742
GRDN.US,USD,US Dollar,Healthcare,Medical Care Facilities,28,0.016666666666666666,False,rank_fill,,0.4775482517661705,-0.0208256610013535,0.6834763896495403,0.1352601888271297,0.2869115984133354,,,,0.0,,1.0,1.4460383034992494
SNX.US,USD,US Dollar,Technology,Electronics & Computer Distribution,29,0.016666666666666666,False,rank_fill,,0.474507092504163,0.0499052705126114,0.1275581738032094,0.6284393412123309,0.0746474978769366,,,,0.0,,1.0,1.284720628602673
EXEL.US,USD,US Dollar,Healthcare,Biotechnology,30,0.016666666666666666,False,rank_fill,,0.4741943287068598,0.0481845933570164,0.7862504979041444,0.43283715774302,0.0,0.0063506677430973,0.4043980175944735,0.4043980175944735,0.0,6.0,1.0,1.0107965651430515
FERG.US,USD,US Dollar,Industrials,Industrial Distribution,31,0.016666666666666666,False,rank_fill,,0.4730890315206211,0.0354302211302211,0.532178915900502,0.1908676149551987,0.0,-0.0052475828519307,0.3458,0.3458,0.0,1.0,1.0,1.066626713454315
NYT.US,USD,US Dollar,Communication Services,Publishing,34,0.016666666666666666,False,rank_fill,,0.4280228661930655,0.0158808783971243,0.4505029878982613,0.2215395546591704,0.0,,,,0.0,,1.0,1.286267550593256
LINC.US,USD,US Dollar,Consumer Defensive,Education & Training Services,35,0.016666666666666666,False,rank_fill,,0.4239520824665326,-0.0119452267650772,0.6343772051487944,0.2652334072050256,0.0753840641353917,,,,0.0,,1.0,1.6500344765683228
EHAB.US,USD,US Dollar,Healthcare,Medical Care Facilities,36,0.016666666666666666,False,rank_fill,,0.418929717006611,-0.0119521912350597,0.4260988775597635,1.1180519705290075,-0.0163406082608539,0.0435868166302947,,,0.0,0.0,1.0,1.4832876806247373
MITK.US,USD,US Dollar,Technology,Software - Application,37,0.016666666666666666,False,rank_fill,,0.408482533516307,0.0114182185893654,0.3330450938665981,0.5740984661806793,0.0,,,,0.0,0.0,1.0,1.2913227541079004
AER.US,USD,US Dollar,Industrials,Rental & Leasing Services,38,0.016666666666666666,False,rank_fill,,0.397694155005036,0.105869913465543,0.068286462484054,0.7577448216771265,0.0,0.0006226820367825,0.5520691080690329,0.5520691080690329,0.0,7.0,1.0,1.0714995773905054
TPR.US,USD,US Dollar,Consumer Cyclical,Luxury Goods,39,0.016666666666666666,False,rank_fill,,0.3893365945413694,0.0572833619210977,0.803723121343363,0.0940500780566936,0.0,-0.0027021223304342,0.6171083343260504,0.6171083343260504,0.0,26.0,1.0,1.164955772942074
AXGN.US,USD,US Dollar,Healthcare,Medical Devices,40,0.016666666666666666,False,rank_fill,,0.389219237563898,-0.0404958651543223,0.7549066927695355,0.1362730667461425,0.0451684489784674,,,,0.0,,1.0,1.6418620211988009
UI.US,USD,US Dollar,Technology,Communication Equipment,41,0.016666666666666666,False,rank_fill,,0.3879601224014773,0.0023429289754872,0.7620104592652601,0.0217968846765128,0.0,0.012045842070234,0.6875496518962975,0.6875496518962975,0.0,9.0,1.0,1.5068221691380497
PHIN.US,USD,US Dollar,Consumer Cyclical,Auto Parts,42,0.016666666666666666,False,rank_fill,,0.3864314553029206,0.1214107142857143,0.1904637149593921,0.778595097257675,-0.0,0.0570160888671873,0.5535770975371931,0.5535770975371931,0.0,4.0,1.0,1.1815547757477238
R.US,USD,US Dollar,Industrials,Rental & Leasing Services,43,0.016666666666666666,False,rank_fill,,0.3828908417520177,0.0711255459601212,0.152804051992433,0.4526041976178988,0.0,0.001987726208087,0.4769256193615134,0.4769256193615134,0.0,9.0,1.0,1.1156248181733477
WFRD.US,USD,US Dollar,Energy,Oil & Gas Equipment & Services,44,0.016666666666666666,False,rank_fill,,0.3800409095525229,0.0415076101468625,0.2053107562055031,0.3356246297489046,0.0,,,,0.0,,1.0,1.358254126395077
CIEN.US,USD,US Dollar,Technology,Communication Equipment,45,0.016666666666666666,False,rank_fill,,0.3751521262327446,0.0049053191197829,0.3374716757149212,0.0708172716343237,0.1306780748420056,,,,0.0,,1.0,2.412333410939288
PTEN.US,USD,US Dollar,Energy,Oil & Gas Drilling,46,0.016666666666666666,False,rank_fill,,0.3647648228616263,0.0701698345401262,0.0412636931990968,0.8587042445437103,0.0,,,,0.0,,1.0,1.5125161331389887
VLGEA.US,USD,US Dollar,Consumer Defensive,Grocery Stores,47,0.016666666666666666,False,rank_fill,,0.3599102458959073,-0.0077508838119192,0.6605148294678448,1.010808768710356,,,,,0.0,,1.0,1.1948220513160128
