symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
PRLB.US,USD,US Dollar,Industrials,Metal Fabrication,11,0.03333333333333333,False,buy_buffer_entry,,0.6953411453952651,0.0383468586387434,0.3118766891780813,0.5806377362406228,0.0,-0.0021690545333058,0.6204678501597982,0.6204678501597982,0.0,5.0,1.0,1.1573843612874422
MYRG.US,USD,US Dollar,Industrials,Engineering & Construction,12,0.03333333333333333,False,buy_buffer_entry,,0.6725532238555343,0.0520854411230787,0.25777593412482,0.1730363620616538,0.0285430400840518,0.08028659422189,0.3395278818450451,0.3395278818450451,0.0,6.0,1.0,1.3546899210628822
OMAB.US,USD,US Dollar,Industrials,Airports & Air Services,13,0.03333333333333333,False,buy_buffer_entry,,0.6688772467051578,0.042,0.3900333353039749,2.104147848433125,-0.0,,,,0.0,0.0,1.0,1.0706276645976187
STRA.US,USD,US Dollar,Consumer Defensive,Education & Training Services,14,0.03333333333333333,False,buy_buffer_entry,,0.6671609240582637,0.0834224523612262,0.3046832537011782,0.9708599666073028,0.1221693102237913,-2.481768687334629e-06,0.6036340182747744,0.6036340182747744,0.0,5.0,1.0,1.028616895003298
ITRN.US,USD,US Dollar,Technology,Scientific & Technical Instruments,15,0.03333333333333333,False,buy_buffer_entry,,0.6419529395335877,0.1143053282396702,0.4623783705406847,0.2748889329971584,0.0258157959981405,,0.34895,0.34895,0.0,1.0,1.0,1.2848794477065153
BSM.US,USD,US Dollar,Energy,Oil & Gas E&P,16,0.03333333333333333,False,buy_buffer_entry,,0.6091211267314575,0.0853976753012618,0.236806598610015,0.3841379126681929,0.0543169579168278,-0.0021831332637021,0.6908094175701038,0.6908094175701038,0.0,5.0,1.0,1.045447883693132
GCT.US,USD,US Dollar,Technology,Software - Infrastructure,17,0.03333333333333333,False,buy_buffer_entry,,0.6064503059220347,0.0720401234668282,0.2500426209958094,0.3205141132472232,0.1334820708709534,0.0008362970606434,0.6797927780326949,0.6797927780326949,0.0,10.0,1.0,1.3475432364622175
INCY.US,USD,US Dollar,Healthcare,Biotechnology,18,0.03333333333333333,False,buy_buffer_entry,,0.5621844625262288,0.0466916828955493,0.6758471181190269,0.6242293383316355,-0.0,4.2053558622412446e-05,0.667686817287957,0.667686817287957,0.0,11.0,1.0,1.046565819245207
CROX.US,USD,US Dollar,Consumer Cyclical,Footwear & Accessories,19,0.03333333333333333,False,buy_buffer_entry,,0.5474213179411818,0.0939965235994116,0.5645978801125816,0.4026626267816607,0.0,0.0009737328923453,0.7709005144465483,0.7709005144465483,0.0,19.0,1.0,1.0641318226679528
FE.US,USD,US Dollar,Utilities,Utilities - Regulated Electric,20,0.03333333333333333,False,buy_buffer_entry,,0.5367763710421652,0.034466897746967,0.1478427303949628,0.421053812068115,-0.0,0.0214592230485846,0.5114602323464441,0.5114602323464441,0.0,12.0,1.0,1.1300397147891574
